source_identity_key,historical_product_title,historical_variant_title,material,affected_raw_rows,absolute_unit_magnitude,absolute_sales_magnitude,review_disposition,canonical_variant_id,canonical_product_title,canonical_variant_title,evidence_basis,review_note
0|1809623|FRONTERA CAB MERLOT|1.5L,Frontera Cabernet Sauvignon - Merlot,1.5L,true,33,60.0000,589.40,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|18949|LIFEVINE CHARDONNAY|750ML,Lifevine Chardonnay,750ML,true,22,35.0000,546.13,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|19114|A AND J CAB|750ML,A&J Cabernet Sauvignon,750ML,true,12,12.0000,71.28,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|19115|A AND J CAB|1.5L,A&J Cabernet Sauvignon,1.5L,true,14,16.0000,144.90,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|19125|A AND J PN|750ML,A&J Pinot Noir,750ML,true,9,12.0000,69.79,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|19126|A AND J PN|1.5L,A&J Pinot Noir,1.5L,true,15,16.0000,129.96,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|19933|SUN CRUISER VARIETY|355ML,Sun Cruiser Variety,355ML,true,9,9.0000,179.91,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|19933|SUN CRUISER VARIETY|8PK 12OZ CANS,Sun Cruiser Variety,8pk-12oz Cans,true,3,6.0000,119.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|209135|FOX RUN SEMI DRY RIESLING|750ML,Fox Run Semi Dry Riesling,750ML,true,52,54.0000,863.46,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|2208|BRILLA DELLE VENEZIE PG|750ML,Brilla Delle Venezie Pinot Grigio,750ML,true,62,72.0000,932.05,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|300010|CUTWATER WHISKEY LEMONADE|12OZ,Cutwater Whiskey Lemonade,12oz,true,14,15.0000,194.85,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|300010|CUTWATER WHISKEY LEMONADE|4PK 12OZ CANS,Cutwater Whiskey Lemonade,4pk-12oz Cans,true,2,2.0000,25.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3001320|VOLCAN DE MI TIERRA BLANCO|750ML,Volcan De Mi Tierra Blanco,750ML,true,3,3.0000,156.10,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3003070|PRIMO AMORE MOSCATO PUGLIA IGT|750ML,Primo Amore Moscato Puglia IGT,750ML,true,33,38.0000,483.62,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
