artifact_version,source_identity_key,prior_manifest_row_number,prior_manifest_sha256,prior_disposition,final_disposition,material,source_variant_id,historical_sku,historical_product_title,historical_variant_title,canonical_variant_id,continuity_role,continuity_pair_id,continuity_predecessor_variant_id,continuity_successor_variant_id,continuity_sale_periods_overlap,continuity_gap_days,continuity_evidence,terminal_exclusion_reason_code,raw_row_count,first_sale_date,last_sale_date,net_units,absolute_units,net_sales,absolute_sales,evidence_classification,evidence_version,owner_approval_basis,production_sales_backfill_id
PHASE4_TERMINAL_DISPOSITION_V1,0|1809623|FRONTERA CAB MERLOT|1.5L,1,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,1809623,Frontera Cabernet Sauvignon - Merlot,1.5L,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,33,2024-12-20,2025-09-23,60.0000,60.0000,589.40,589.40,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|18949|LIFEVINE CHARDONNAY|750ML,2,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,18949,Lifevine Chardonnay,750ML,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,22,2024-12-24,2026-03-26,35.0000,35.0000,546.13,546.13,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|19114|A AND J CAB|750ML,3,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,19114,A&J Cabernet Sauvignon,750ML,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,12,2024-12-16,2025-04-08,12.0000,12.0000,71.28,71.28,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|19115|A AND J CAB|1.5L,4,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,19115,A&J Cabernet Sauvignon,1.5L,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,14,2024-12-23,2025-10-10,16.0000,16.0000,144.90,144.90,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|19125|A AND J PN|750ML,5,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,19125,A&J Pinot Noir,750ML,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,9,2024-11-28,2025-10-05,12.0000,12.0000,69.79,69.79,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|19126|A AND J PN|1.5L,6,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,19126,A&J Pinot Noir,1.5L,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,15,2025-01-02,2025-10-28,16.0000,16.0000,129.96,129.96,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|19933|SUN CRUISER VARIETY|355ML,7,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,19933,Sun Cruiser Variety,355ML,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,9,2024-12-12,2025-08-17,9.0000,9.0000,179.91,179.91,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|19933|SUN CRUISER VARIETY|8PK 12OZ CANS,8,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,19933,Sun Cruiser Variety,8pk-12oz Cans,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,3,2025-10-25,2026-01-10,6.0000,6.0000,119.94,119.94,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|209135|FOX RUN SEMI DRY RIESLING|750ML,9,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,209135,Fox Run Semi Dry Riesling,750ML,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,52,2024-12-13,2026-04-02,54.0000,54.0000,863.46,863.46,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
PHASE4_TERMINAL_DISPOSITION_V1,0|2208|BRILLA DELLE VENEZIE PG|750ML,10,95fe0c7902efc337bb51ba0b5a2f974f9b2ac76d7221a25e7dcd52a8cd28d287,LEAVE_UNRESOLVED,EXCLUDE_UNATTRIBUTABLE,true,0,2208,Brilla Delle Venezie Pinot Grigio,750ML,,,,,,,,,HISTORICAL_IDENTITY_UNATTRIBUTABLE_AFTER_EXHAUSTIVE_REVIEW,62,2024-12-02,2025-12-01,72.0000,72.0000,932.05,932.05,U0_NO_SAFE_CANONICAL_ATTRIBUTION_AFTER_EXHAUSTIVE_REVIEW,phase4-terminal-disposition-evidence-v1,OWNER_AUTHORIZATION_2026-08-21_PHASE4_TERMINAL_PACKET,d389079c-eabf-49b5-a245-40a207025fd7
