price_id,offer_id,price_state,effective_month,level_type,break_qty,break_unit,case_price,unit_price,source_file,source_page,extraction_confidence,verified,notes,created_at
1,1,current,2026-08-01,BASE,1.0,BASE,177.55,29.59,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $26.39; current-minus-closest $0.00.,2026-08-07 19:21:02
2,1,current,2026-08-01,BREAK,2.0,CS,158.35,26.39,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $26.39; current-minus-closest $0.00.,2026-08-07 19:21:02
3,1,current,2026-08-01,BREAK,5.0,CS,143.95,23.99,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $26.39; current-minus-closest $0.00.,2026-08-07 19:21:02
4,1,current,2026-08-01,BREAK,7.0,CS,134.34,22.39,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $26.39; current-minus-closest $0.00.,2026-08-07 19:21:02
5,2,current,2026-08-01,BASE,1.0,BASE,254.3,21.19,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $17.20; current-minus-closest $0.00.,2026-08-07 19:21:02
6,2,current,2026-08-01,BREAK,2.0,CS,244.7,20.39,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $17.20; current-minus-closest $0.00.,2026-08-07 19:21:02
7,2,current,2026-08-01,BREAK,5.0,CS,206.35,17.2,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $17.20; current-minus-closest $0.00.,2026-08-07 19:21:02
8,3,current,2026-08-01,BASE,1.0,BASE,193.92,4.04,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $4.04; current-minus-closest $0.00.,2026-08-07 19:21:02
9,3,current,2026-08-01,BREAK,3.0,CS,179.04,3.73,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $4.04; current-minus-closest $0.00.,2026-08-07 19:21:02
10,3,current,2026-08-01,BREAK,5.0,CS,136.8,2.85,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $4.04; current-minus-closest $0.00.,2026-08-07 19:21:02
