offer_id,variant_id,vendor_name,supplier_sku,supplier_description,package_type,size_text,raw_pack,shopify_units_per_case,assortment_group,assortable_working,allocation_limit,active,valid_from,valid_to,replaces_offer_id,source,confidence,notes
1,42913409663051,Southern Glazers,306622,CINNAMON WHISKEY 66,STANDARD,1.75L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $26.39; current-minus-closest $0.00.
2,42913409630283,Southern Glazers,193496,CINNAMON WHISKEY 66,STANDARD,1L,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $17.20; current-minus-closest $0.00.
3,42913409531979,Southern Glazers,193535,CINNAMON WHISKEY 66 PET,STANDARD,200ML,48,48.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $4.04; current-minus-closest $0.00.
4,42913409564747,Southern Glazers,973104,CINNAMON WHISKEY 66 PET,STANDARD,375ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $6.66; current-minus-closest $0.00.
5,41318382600267,Southern Glazers,892614,CINNAMON WHISKEY 2/10SCANSLV,STANDARD,50ML,50ML / 120 minis (12 x 10-pack sleeve),120.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,50ML package format chosen for standard economic schedule. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $0.75; current-minus-closest $0.00.
6,42913409597515,Southern Glazers,193497,CINNAMON WHISKEY 66,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $13.59; current-minus-closest $0.00.
7,42913397112907,Empire Merchants North,9064479-G,PROSECCO DOC,STANDARD,1.5L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $24.00; current-minus-closest $0.00.
8,41318373851211,Empire Merchants North,9174974-G,PROSECCO DOC,STANDARD,187ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $4.33; current-minus-closest $0.00.
9,42913397047371,Empire Merchants North,3004871-G,PROSECCO DOC,STANDARD,375ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $7.33; current-minus-closest $0.00.
10,42913397080139,Empire Merchants North,9064483-G,PROSECCO DOC,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $14.00; current-minus-closest $0.00.
11,41157276729419,Empire Merchants North,9244871-G,PINOT GRIGIO (SC),STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.
12,41157208768587,Southern Glazers,662390,KEND JACK VINT RSV CHARD(SC)24,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $12.67; current-minus-closest $0.00.
13,41157554208843,Empire Merchants North,9005625-I,CABERNET SAUVIGNON (SC),STANDARD,1.5L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $6.86; current-minus-closest $0.00.
14,42913402945611,Southern Glazers,84587,TITO'S HANDMADE VODKA 80,STANDARD,1.75L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $30.44; current-minus-closest $-0.01.
15,42913402912843,Southern Glazers,46599,TITO'S HANDMADE VODKA 80,STANDARD,1L,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $21.93; current-minus-closest $0.00.
16,42913402814539,Southern Glazers,46594,TITO'S HANDMADE VODKA 80,STANDARD,200ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $5.52; current-minus-closest $0.00.
17,42913402847307,Southern Glazers,294737,TITO'S HANDMADE VODKA 80,STANDARD,375ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Shopify current cost is $9.04 vs price-book $9.05; 1¢ variance flagged. Current-cost validation: Exact / 1¢; closest published cost $9.05; current-minus-closest $-0.01.
18,41318377848907,Southern Glazers,974536,TITOS HANDMADE VODKA 80 5/12PK SLV,STANDARD,50ML,50ML / 60 minis,60.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,HIGH,Price book uses a packaged mini sleeve line; economics match Shopify current $1.29 cost. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $1.29; current-minus-closest $0.00.
19,42913402880075,Southern Glazers,46533,TITO'S HANDMADE VODKA 80,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $16.53; current-minus-closest $0.00.
20,41716809203787,Empire Merchants North,3017046-G,HARD SELTZER BEACH VARIETY PACK (2 12-PACKS),STANDARD,12pk-12oz Cans,355/24 cans = 2 x 12pk,2.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.
21,41157208637515,Southern Glazers,947414,SAUVIGNON BLANC,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.
22,41157208997963,Southern Glazers,14580,SAUVIGNON BLANC (SC),STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.
23,42913415528523,Empire Merchants North,3019715-P,BOTA BOX CORE SAUVIGNON BLANC,STANDARD,3L,3/3,3.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00.
24,41156899635275,Empire Merchants North,3019741-P,BOTA BOX CORE SAUVIGNON BLANC,STANDARD,500ML,500/12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $3.33; current-minus-closest $0.00.
