alias_id,variant_id,old_variant_id,historical_product_title,historical_variant_title,historical_sku,match_method,is_current_id,source,notes
1,41154906226763,41154906226763,Ardbeg 10 Year Single Malt Scotch Whisky,750ML,9002432,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
2,41154906292299,41154906292299,Ardbeg Wee Beastie,750ML,3005525,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
3,41318389252171,41318389252171,Belvedere Organic Vodka,375ML,3012509,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
4,42913416446027,41154906390603,Belvedere Organic Vodka,1L,3012512,SKU + title,0,historical_detail_2024-11-01_to_2026-07-22,
5,42913416478795,41154906325067,Belvedere Organic Vodka,1.75L,3012513,SKU + title,0,historical_detail_2024-11-01_to_2026-07-22,
6,42913416446027,41318389284939,Belvedere Organic Vodka,1L,3012512,SKU + title,0,historical_detail_2024-11-01_to_2026-07-22,
7,41154906456139,41154906456139,Chandon California Brut,750ML,9002451,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
8,41154906488907,41154906488907,Chandon Garden Spritz,750ML,3007822,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
9,41154906521675,41154906521675,Chandon Brut Rose,750ML,9007070,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
10,41154906554443,41154906554443,Veuve Clicquot Rich,750ML,3003002,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
11,41154906619979,41154906619979,Moet & Chandon Nectar Imperial,750ML,,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
12,41154906685515,41154906685515,Cloudy Bay Sauvignon Blanc,750ML,3014209,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
13,41154906718283,41154906718283,Dom Perignon Champagne Brut,750ML,3012320,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
14,41154906751051,41154906751051,Glenmorangie Lasanta 12Yr Sherry Cask,750ML,3012103,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
15,41154906783819,41154906783819,Glenmorangie Quinta Ruban Port 14Yrs,750ML,3012104,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
16,41154906816587,41154906816587,Glenmorangie 12Yrs Single Malt,750ML,3015606,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
17,41154906849355,41154906849355,Glenmorangie Triple Cask Single Malt,750ML,3015607,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
18,41154906882123,41154906882123,Chateau Les Trois Croix,750ML,3010925,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
19,41154906914891,41154906914891,M de Minuty Rose,750ML,3014774,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
20,42913416413259,41154906980427,Moet & Chandon Imperial,187ML,9034139,SKU + title,0,historical_detail_2024-11-01_to_2026-07-22,
21,41154906947659,41154906947659,Moet & Chandon Imperial,750ML,9084215,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
22,42913416413259,41154906980427,Moet & Chandon Brut Imperial,187ML,9034139,SKU + title,0,historical_detail_2024-11-01_to_2026-07-22,
23,41154906947659,41154906947659,Moet & Chandon Brut Imperial,750ML,9084215,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
24,41154907013195,41154907013195,Moet & Chandon Rose Imperial,750ML,9007420,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
25,41154907045963,41154907045963,Numanthia Termes,750ML,3013817,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
26,41154907111499,41154907111499,Skyside Pinot Noir,750ML,3015295,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
27,41154907144267,41154907144267,Terrazas de los Andes Malbec Altos Del Plata Mendoza,750ML,3014223,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
28,41154907144267,41154907144267,Altos Del Plata Mendoza Malbec,750ML,3014223,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
29,41154907177035,41154907177035,Altos del Plata Cabernet Sauvignon,750ML,3012656,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
30,41154907209803,41154907209803,Terrazas de los Andes Reserva Malbec,750ML,3012657,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
31,41154907242571,41154907242571,The Beach by Whispering Angel,750ML,3015601,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
32,41462550462539,41462550462539,Whispering Angel Rose,375ML,,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
33,42913416380491,41154907340875,Whispering Angel Rose,750ML,3014931,SKU + title,0,historical_detail_2024-11-01_to_2026-07-22,
34,42913416380491,42913416380491,Whispering Angel Rose,750ML,3014931,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
35,41154907439179,41154907439179,Woodinville Bourbon Port Cask Finish,750ML,3005011,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
36,41154950692939,41154950692939,Doc Swinson's 5Yrs Straight Bourbon,750ML,,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
37,41154950725707,41154950725707,Doc Swinson's Triple Cask Bourbon,750ML,,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
38,41154950758475,41154950758475,Doc Swinson's Finished In Solera Rye,750ML,,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
39,41154950791243,41154950791243,Faber Distilling Co. Chocolate Vodka,750ML,,Current variant ID,1,historical_detail_2024-11-01_to_2026-07-22,
