variant_id,shopify_gid,product_id,product_gid,product_title,variant_title,handle,status,sku,barcode,variant_created_at,retail_price,current_cost,inventory_quantity,inventory_tracked,shopify_vendor,product_type,active,source_snapshot,last_synced_at
41154906226763,,7262190698571,,Ardbeg 10 Year Single Malt Scotch Whisky,750ML,ardbeg-10-year-single-malt-scotch-whisky,ACTIVE,9002432,083300072106,2024-11-23 01:48:11,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906259531,,7262190731339,,Ardbeg Scotch Uigeadail,750ML,ardbeg-scotch-uigeadail,ACTIVE,9033836,083300072045,2024-11-23 01:48:12,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906292299,,7262190764107,,Ardbeg Wee Beastie,750ML,ardbeg-wee-beastie,ACTIVE,3005525,081753832902,2024-11-23 01:48:12,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906456139,,7262190829643,,Chandon California Brut,750ML,chandon-california-brut,ACTIVE,9002451,085155000013,2024-11-23 01:48:14,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906488907,,7262190862411,,Chandon Garden Spritz,750ML,chandon-garden-spritz,ACTIVE,3007822,085155273837,2024-11-23 01:48:15,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906521675,,7262190895179,,Chandon Brut Rose,750ML,chandon-brut-rose,ACTIVE,9007070,085155000402,2024-11-23 01:48:17,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906554443,,7262190927947,,Veuve Clicquot Rich,750ML,veuve-clicquot-rich,ACTIVE,3003002,081753826130,2024-11-23 01:48:18,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906619979,,7262190993483,,Moet & Chandon Nectar Imperial,750ML,veuve-clicquot-moet-necter,ACTIVE,,088110551254,2024-11-23 01:48:21,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906685515,,7262191059019,,Cloudy Bay Sauvignon Blanc,750ML,cloudy-bay-sauvignon-blanc,ACTIVE,3014209,081753809423,2024-11-23 01:48:23,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906718283,,7262191091787,,Dom Perignon Champagne Brut,750ML,dom-perignon-champagne-brut,ACTIVE,3012320,081753822422,2024-11-23 01:48:24,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906751051,,7262191124555,,Glenmorangie Lasanta 12Yr Sherry Cask,750ML,glenmorangie-the-lasanta-12-year-sherry-cask-finish,ACTIVE,3012103,081753810863,2024-11-23 01:48:26,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906783819,,7262191157323,,Glenmorangie Quinta Ruban Port 14Yrs,750ML,glenmorangie-the-quinta-ruban-port-cask-14-year-single-malt-scotch-whisky,ACTIVE,3012104,081753831486,2024-11-23 01:48:26,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906816587,,7262191190091,,Glenmorangie 12Yrs Single Malt,750ML,glenmorangie-12-years-old-the-original-highland-single-malt-scotch-whisky,ACTIVE,3015606,081753839956,2024-11-23 01:48:27,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906849355,,7262191222859,,Glenmorangie Triple Cask Single Malt,750ML,glenmorangie-distillery-triple-cask-reserve-highland-single-malt-scotch-whisky,ACTIVE,3015607,081753840013,2024-11-23 01:48:28,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906882123,,7262191255627,,Chateau Les Trois Croix,750ML,chateau-les-trois-croix,ACTIVE,3010925,081753836573,2024-11-23 01:48:29,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906914891,,7262191288395,,M de Minuty Rose,750ML,m-de-minuty-rose,ACTIVE,3014774,17790975002214,2024-11-23 01:48:30,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154906947659,,7262191321163,,Moet & Chandon Imperial,750ML,moet-chandon-brut-imperial,ACTIVE,9084215,088110551056,2024-11-23 01:48:31,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154907013195,,7262191353931,,Moet & Chandon Rose Imperial,750ML,moet-chandon-imperial-rose,ACTIVE,9007420,088110552404,2024-11-23 01:48:32,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154907045963,,7262191386699,,Numanthia Termes,750ML,numanthia-termes,ACTIVE,3013817,817538141132,2024-11-23 01:48:33,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154907111499,,7262191452235,,Skyside Pinot Noir,750ML,skyside-pinot-noir,ACTIVE,3015295,081753833558,2024-11-23 01:48:35,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154907144267,gid://shopify/ProductVariant/41154907144267,7262191485003,,Altos Del Plata Mendoza Malbec,750ML,terrazas-de-los-andes-malbec-altos-del-plata-mendoza,ACTIVE,3014223,088110158965,2024-11-23 01:48:35,9.99,7.69,,,Empire Merchants North,Red Wine,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41154907177035,,7262191517771,,Altos del Plata Cabernet Sauvignon,750ML,terrazas-de-los-andes-altos-del-plata-cabernet-sauvignon,ACTIVE,3012656,088110158958,2024-11-23 01:48:36,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154907209803,,7262191550539,,Terrazas de los Andes Reserva Malbec,750ML,terrazas-de-los-andes-reserva-malbec,ACTIVE,3012657,088110158996,2024-11-23 01:48:37,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154907242571,gid://shopify/ProductVariant/41154907242571,7262191583307,,The Beach by Whispering Angel,750ML,chateau-desclans-coteaux-daix-en-provence-the-beach-by-whispering-angel,ACTIVE,3015601,081753833909,2024-11-23 01:48:38,19.99,14.99,,,Empire Merchants North,Rosé,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41154907439179,,7262191779915,,Woodinville Bourbon Port Cask Finish,750ML,woodinville-bourbon-port-cask-finish,ACTIVE,3005011,858349004179,2024-11-23 01:48:43,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950692939,,7262196891723,,Doc Swinson's 5Yrs Straight Bourbon,750ML,doc-swinsons-5-years-old-blenders-cut-straight-bourbon-whiskey,ACTIVE,,850167007837,2024-11-23 03:22:21,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950725707,,7262196924491,,Doc Swinson's Triple Cask Bourbon,750ML,doc-swinsons-alter-ego-triple-cask-bourbon-whiskey,ACTIVE,,850167007783,2024-11-23 03:22:22,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950758475,,7262196957259,,Doc Swinson's Finished In Solera Rye,750ML,doc-swinsons-the-alter-ego-flagship-series-finished-in-solera-rye-whiskey,ACTIVE,,850050046042,2024-11-23 03:22:23,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950791243,,7262196990027,,Faber Distilling Co. Chocolate Vodka,750ML,faber-distilling-co-chocolate-vodka,ACTIVE,,644042573018,2024-11-23 03:22:24,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950824011,,7262197022795,,Faber Distilling Raspberry Schnapps Liqueur - Premium Fruit Liqueur,750ML,faber-distilling-raspberry-schnapps-liqueur,ACTIVE,,659682958064,2024-11-23 03:22:25,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950856779,,7262197055563,,Faber Distilling Vanilla Flavored Vodka,750ML,faber-distilling-vanilla-flavored-vodka,ACTIVE,,644042573001,2024-11-23 03:22:26,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950889547,,7262197088331,,Fruitful Mixology Blood Orange Liqueur,1L,fruitful-mixology-blood-orange-liqueur,ACTIVE,,799513954237,2024-11-23 03:22:26,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154950955083,,7262197153867,,Fruitful Passion Fruit Liqueur,1L,fruitful-passion-fruit-liqueur,ACTIVE,,617737740804,2024-11-23 03:22:28,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154951053387,,7262197252171,,Madre Mezcal,750ML,madre-mezcal,ACTIVE,,816136022980,2024-11-23 03:22:30,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154951086155,,7262197284939,,Peychaud's Aromatic Cocktail Bitters,10oz,peychauds-aromatic-cocktail-bitters,ACTIVE,,088004190170,2024-11-23 03:22:31,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154951217227,,7262197350475,,Zumbador Blanco Tequila 100% de Agave,750ML,zumbador-blanco-tequila-100-de-agave,ACTIVE,,810098407557,2024-11-23 03:22:33,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154951249995,,7262197383243,,Zumbador Reposado Tequila 100% de Agave,750ML,zumbador-reposado-tequila-100-de-agave,ACTIVE,,810098407533,2024-11-23 03:22:34,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154954985547,,7262199349323,,Bar Water Vodka Loganberry,1L,bar-water-vodka-loganberry,ACTIVE,,854572005839,2024-11-23 03:44:15,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955018315,,7262199382091,,Bar Water Vodka Original,1L,bar-water-vodka-original,ACTIVE,19381,854572005747,2024-11-23 03:44:16,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955149387,,7262199414859,,Barmen 1873 Bourbon,750ML,barmen-1873-bourbon,ACTIVE,26441,071990000790,2024-11-23 03:44:17,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955247691,,7262199513163,,Brilla Delle Venezie Pinot Grigio Rose,750ML,brilla-delle-venezie-pinot-grigio-rose,ACTIVE,2209,8008863075830,2024-11-23 03:44:18,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955313227,gid://shopify/ProductVariant/41154955313227,7262199545931,,Brilla Prosecco Extra Dry,750ML,brilla-prosecco-extra-dry,ACTIVE,2122,8008863060379,2024-11-23 03:44:19,14.99,10.67,,,Wright Distribution,Sparkling Wine,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41154955411531,gid://shopify/ProductVariant/41154955411531,7262199578699,,Brilla Prosecco Rose Extra Dry,750ML,brilla-prosecco-rose-extra-dry,ACTIVE,2120,8008863065596,2024-11-23 03:44:20,14.99,10.68,,,Wright Distribution,Sparkling Wine,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41154955575371,,7262199644235,,Heron Eclipse Red,750ML,heron-eclipse-red,ACTIVE,26054,721594001005,2024-11-23 03:44:22,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955608139,,7262199677003,,Heron Hill Classic Semi Dry Riesling,750ML,heron-hill-classic-semi-dry-riesling,ACTIVE,26053,721594000572,2024-11-23 03:44:23,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955640907,,7262199709771,,Heron Hill Winery Semi-Sweet Riesling,750ML,heron-hill-winery-semi-sweet-riesling,ACTIVE,26052,721594000565,2024-11-23 03:44:24,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955706443,,7262199742539,,Hoyser Drunken Bean Coffee Whiskey,750ML,hoyser-coffee-whiskey,ACTIVE,2150,850010358130,2024-11-23 03:44:24,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955739211,,7262199775307,,Killr Kck Sour Apple Vodka,50ML,killr-flavoured-whiskey,ACTIVE,,850047591845,2024-11-23 03:44:25,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955771979,,7262199808075,,Lifevine Cabernet Sauvignon,750ML,lifevine-cabernet-sauvignonignon,ACTIVE,18950,852411007563,2024-11-23 03:44:26,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154955903051,,7262199873611,,Lifevine Pinot Noir,750ML,lifevine-pinot-noir,ACTIVE,18953,852411007969,2024-11-23 03:44:28,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154956001355,,7262199939147,,Lifevine Sauvignon Blanc,750ML,lifevine-sauvignonignon-blanc,ACTIVE,19099,857131008562,2024-11-23 03:44:29,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154956034123,,7262199971915,,Molly's Irish Cream,1L,mollys-irish-cream,ACTIVE,7047,5390683101008,2024-11-23 03:44:30,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154956165195,,7262200004683,,Party Horses Flavoured Whiskey,50ML,party-horses-flavoured-whiskey,ACTIVE,,,2024-11-23 03:44:31,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154968879179,,7262201184331,,1911 Bourborn,750ML,1911-bourborn,ACTIVE,190007,648558945475,2024-11-23 03:55:24,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154968944715,,7262201217099,,1911 Straight Rye,750ML,1911-straight-rye,ACTIVE,190013,648558946991,2024-11-23 03:55:25,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154968977483,,7262201249867,,Beatbox Blue Razzberry,500ML,beatbox-blue-razzberry,ACTIVE,445501,851133006137,2024-11-23 03:55:26,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969043019,,7262201282635,,Beatbox Fruit Punch,500ML,beatbox-beverages-zero-sugar-fruit-punch,ACTIVE,445504,851133006120,2024-11-23 03:55:27,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969075787,,7262201315403,,Beatbox Green Apple,500ML,beatbox-green-apple,ACTIVE,445511,851133006731,2024-11-23 03:55:28,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969108555,,7262201348171,,Beatbox Peach Tea,500ML,beatbox-beverages-juicy-mango,ACTIVE,445505,851133006991,2024-11-23 03:55:29,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969174091,,7262201380939,,Beatbox Orange Blast,500ML,beatbox-orange,ACTIVE,445516,850059195178,2024-11-23 03:55:29,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969206859,,7262201413707,,Cask & Crew Rye,750ML,cask-crew-rye,ACTIVE,390151,077644902502,2024-11-23 03:55:30,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969731147,gid://shopify/ProductVariant/41154969731147,7262201806923,,Fox Run Chardonnay,750ML,fox-run-chardonnay,ACTIVE,209100,790773705751,2024-11-23 03:55:40,13.99,10.67,,,Try It Distribution,White Wine,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41154969829451,,7262201872459,,Freedom Run Pinot Noir,750ML,free-run-pinot-noir,ACTIVE,122003,879139000973,2024-11-23 03:55:42,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969862219,,7262201905227,,Freedom Run Unoaked Chardonnay,750ML,free-run-unoaked-chardonnay,ACTIVE,122001,879139000089,2024-11-23 03:55:43,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969894987,,7262201937995,,Hoshi Sake,750ML,hoshi-sake,ACTIVE,153056,084279975863,2024-11-23 03:55:44,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154969960523,,7262201970763,,Mano's Wine Bills Mafia Juice Rose,3L,manos-wine-bills-mafia-juice-rose,ACTIVE,202243,850041774916,2024-11-23 03:55:44,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970026059,,7262202003531,,Mano'S Hey Ey cabernet Sauvignon,750ML,manos-hey-eycabernet-sauvignon,ACTIVE,202242,850041774909,2024-11-23 03:55:45,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970091595,,7262202036299,,Merritt Estate Winery Bella Rosa,1.5L,merritt-estate-winery-bella-rosa,ACTIVE,145004,719226150238,2024-11-23 03:55:46,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970288203,,7262202167371,,O'Reilly'S Irish Cream,1.5L,oreillys-irish-cream,ACTIVE,153045,084279004518,2024-11-23 03:55:50,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970386507,,7262202200139,,Recipe 21 Blended Whiskey,1.75L,recipe-21-blended-whiskey,ACTIVE,170985,088004058951,2024-11-23 03:55:51,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970484811,,7262202232907,,Recipe 21 Cherry Vodka,1.75L,recipe-21-premium-cherry-flavored-vodka,ACTIVE,170976,088004059255,2024-11-23 03:55:52,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970550347,,7262202265675,,Recipe 21 Grape,1.75L,recipe21-grape,ACTIVE,170971,088004059224,2024-11-23 03:55:53,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970648651,,7262202298443,,Recipe 21 Orange Vodka,1.75L,recipe-21-orange-flavored-vodka,ACTIVE,170981,077644902861,2024-11-23 03:55:54,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970714187,,7262202331211,,Recipe 21 Peach Schnapps,1L,recipe21-peach-schnapps,ACTIVE,170910,088004058982,2024-11-23 03:55:54,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970746955,,7262202363979,,Recipe 21 Raspberry Vodka,1.75L,recipe-21-premium-raspberry-flavored-vodka,ACTIVE,170969,088004058920,2024-11-23 03:55:55,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41154970845259,,7262202396747,,Recipe 21 Triple Sec,1L,recipe-21-triple-sec,ACTIVE,170915,088004058555,2024-11-23 03:55:56,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898685003,,7262858674251,,2XO American Oak Bourbon,750ML,2xo-whiskey-the-tribute-blend-kentucky-straight-bourbon-whiskey,ACTIVE,,084279008165,2024-11-24 22:02:58,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898717771,,7262858707019,,Argento Malbec White,750ML,argento-malbec-white,ACTIVE,,816828027002,2024-11-24 22:02:59,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898816075,,7262858805323,,Bear Fight Kentucky Reserve Straight Bourbon,750ML,bear-fight-whiskey-kentucky-reserve-kentucky-straight-bourbon-whiskey,ACTIVE,,850038461638,2024-11-24 22:03:02,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898848843,,7262858838091,,BioKult Naken Skin Fermented Wine,750ML,biokult-naken-skin-fermented-wine,ACTIVE,,185554000710,2024-11-24 22:03:02,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898881611,,7262858870859,,Black Stallion Cabernet Sauvignon Napa Valley,750ML,black-stallion-estate-winery-cabernet-sauvignon-north-coast,ACTIVE,,082242162432,2024-11-24 22:03:03,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898914379,,7262858903627,,Boissiere Extra Dry Vermouth,1L,boissiere-extra-dry-vermouth,ACTIVE,,086785810096,2024-11-24 22:03:04,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898947147,,7262858936395,,Boissiere Sweet Red Vermouth,1L,boissiere-sweet-red-vermouth,ACTIVE,,086785810119,2024-11-24 22:03:05,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156898979915,,7262858969163,,Bota Box Breeze Cabernet Sauvignon,3L,bota-box-breeze-cabernet-sauvignon,ACTIVE,,082242018074,2024-11-24 22:03:06,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899012683,,7262859001931,,Bota Box Breeze Chardonnay,3L,bota-box-breeze-chardonnay,ACTIVE,,082242017633,2024-11-24 22:03:07,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899045451,,7262859034699,,Bota Box Breeze Pinot Grigio,3L,bota-box-breeze-pinot-grigio,ACTIVE,,082242016780,2024-11-24 22:03:07,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899078219,,7262859067467,,Bota Box Cabernet Sauvignon California,3L,bota-box-cabernet-sauvignon-california,ACTIVE,,082242010450,2024-11-24 22:03:08,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899110987,,7262859100235,,Bota Box Chardonnay,500ML,bota-box-chardonnay,ACTIVE,,082242011013,2024-11-24 22:03:09,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899209291,,7262859165771,,Bota Box Merlot,3L,bota-box-merlot,ACTIVE,,082242017558,2024-11-24 22:03:11,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899242059,gid://shopify/ProductVariant/41156899242059,7262859198539,,Bota Box Nighthawk Bourbon Barrel Cabernet Sauvignon,3L,bota-box-nighthawk-black-bourbon-barrel-aged-cabernet-sauvignon,ACTIVE,,082242016063,2024-11-24 22:03:11,19.99,15.33,,,Empire Merchants North,Bourbon,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41156899274827,,7262859231307,,Bota Box Nighthawk Bold Cabernet Sauvignon,3L,bota-box-nighthawk-black-cabernet-sauvignon,ACTIVE,,082242014380,2024-11-24 22:03:12,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899307595,,7262859264075,,Bota Box Nighthawk Black Dark Malbec,3L,bota-box-nighthawk-black-dark-malbec,ACTIVE,,082242017657,2024-11-24 22:03:13,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899340363,,7262859296843,,Bota Box Nighthawk Red Blend,3L,bota-box-nighthawk-black-rum-barrel-aged-red-blend,ACTIVE,,082242013741,2024-11-24 22:03:14,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899373131,,7262859329611,,Bota Box Nighthawk Gold Buttery Chardonnay,3L,bota-box-nighthawk-gold-buttery-chardonnay,ACTIVE,,082242015691,2024-11-24 22:03:15,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899405899,,7262859362379,,Bota Box Old Vine Zinfandel,3L,bota-box-old-vine-zinfandel,ACTIVE,,082242014953,2024-11-24 22:03:16,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899438667,gid://shopify/ProductVariant/41156899438667,7262859395147,,Bota Box Pinot Grigio,500ML,bota-box-pinot-grigio,ACTIVE,,082242013314,2024-11-24 22:03:17,4.99,3.33,,,Empire Merchants North,White Wine,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41156899504203,,7262859427915,,Bota Box Pinot Noir,3L,bota-box-pinot-noir,ACTIVE,,082242012362,2024-11-24 22:03:17,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899536971,,7262859460683,,Bota Box Redvolution,500ML,bota-box-redvolution,ACTIVE,,082242010832,2024-11-24 22:03:18,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899602507,,7262859493451,,Bota Box Riesling,3L,bota-box-riesling,ACTIVE,,082242013956,2024-11-24 22:03:19,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899635275,gid://shopify/ProductVariant/41156899635275,7262859526219,,Bota Box Sauvignon Blanc,500ML,bota-box-sauvignon-blanc,ACTIVE,,082242014311,2024-11-24 22:03:20,4.99,3.33,,,Empire Merchants North,White Wine,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41156899733579,,7262859591755,,Bread & Butter Chardonnay,750ML,bread-butter-chardonnay,ACTIVE,,850832004260,2024-11-24 22:03:22,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899766347,,7262859624523,,Bread & Butter Merlot,750ML,bread-butter-merlot,ACTIVE,,818051022311,2024-11-24 22:03:23,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899799115,gid://shopify/ProductVariant/41156899799115,7262859657291,,Bread & Butter Pinot Noir,750ML,bread-butter-pinot-noir,ACTIVE,,850832004277,2024-11-24 22:03:23,14.99,10.66,,,Empire Merchants North,Red Wine,1,variant_audit_2026-07-22,2026-08-07_top50_refresh
41156899831883,,7262859690059,,Breckenridge Distillery Gin,750ML,breckenridge-distillery-gin,ACTIVE,,853826005175,2024-11-24 22:03:24,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899864651,,7262859722827,,Breckenridge Distillery Imperial Stout Cask Finish,750ML,breckenridge-distillery-imperial-stout-cask-finish-whiskey-114-7-proof,ACTIVE,,853826005731,2024-11-24 22:03:25,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899897419,,7262859755595,,Breckenridge PX Cask Finish Bourbon,750ML,breckenridge-distillery-px-cask-finish-bourbon,ACTIVE,,853826005533,2024-11-24 22:03:26,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899930187,,7262859788363,,Breckenridge Rum Cask Finish Bourbon,750ML,breckenridge-rum-cask-finish-bourbon,ACTIVE,,853826005625,2024-11-24 22:03:27,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899962955,,7262859821131,,Buena Vista Cabernet Sauvignon Napa Valley,750ML,buena-vista-winery-cabernet-sauvignon-chateau-buena-vista-napa-valley,ACTIVE,,081188107699,2024-11-24 22:03:27,,,,,,,1,variant_audit_2026-07-22,2026-07-22
41156899995723,,7262859853899,,Butternut Chardonnay,750ML,butternut-chardonnay,ACTIVE,,851919004005,2024-11-24 22:03:28,,,,,,,1,variant_audit_2026-07-22,2026-07-22
